# Four-sample capture, stock Android, idle vs playback, 2026-08-31
#
# The stock half of the widened block comparison, and the first capture
# of these windows on a working system. Vendor stack reached via
# 'run switch_vendor' at our U-Boot prompt plus a power cycle.
#
# STATE 1  Android idle. Source 0 already reads 0x03000013 at rest.
# STATE 2  com.softwinner.TvdVideo playing a 1280x720 H.264 clip with a
#          silent AAC track, VISUALLY CONFIRMED on the panel by the
#          operator, decoder logging QueueBufferToShow, and the AFBD
#          buffer ring cycling (0x01500000/0x01B00000/0x00400000/...).
#
# POSITIVE CONTROL PASSED: AFBD Y/C bases classify free-running here
# (cycling ring) and state-driven on the Linux side (installed once), so
# both captures observed their real states.
#
# Read with hidtvreg-read via /dev/hidtvreg, byte-identical format to
# mmio-read, so it diffs line-for-line against
# linux-mips-alive-decd-4sample-2026-08-31.txt.
#
== state1-a
050007fc 0x00000000
05000800 0x00000000
05000804 0x002C0500
05000808 0x0000002C
0500080c 0x001402D0
05000810 0x00000000
05000814 0x00000000
05000818 0x00000000
0500081c 0x00000000
05000820 0x00000000
05000824 0x00000000
05000828 0x00018001
0500082c 0x00010001
05000830 0x00000000
05000834 0x00000000
05000838 0x00000000
0500083c 0x00000000
05000840 0x02D10015
05000844 0x05000030
05000848 0x00000000
0500084c 0x00000000
05000850 0x00000000
05000854 0x00030001
05000858 0x02D00015
0500085c 0x05000030
05000860 0x00000071
05000864 0x00000000
05000868 0x00000000
0500086c 0x00000000
05000870 0x00000000
05000874 0x00000000
05000878 0x00000000
0500087c 0x00000000
05000880 0x00010001
05000884 0x00010001
05000888 0x00000000
0500088c 0x07800020
05000890 0x0438000C
05000894 0x00000000
05000898 0x00000000
0500089c 0x00000000
050008a0 0x00000000
050008a4 0x00000000
050008a8 0x00000000
050008ac 0x00000000
050008b0 0x00000000
050008b4 0x00000000
050008b8 0x00000000
050008bc 0x00000000
050008c0 0x00000000
050008c4 0x00000000
050008c8 0x00000000
050008cc 0x00000000
050008d0 0x00000000
050008d4 0x00000000
050008d8 0x00000000
050008dc 0x00000000
050008e0 0x00000000
050008e4 0x00000000
050008e8 0x00000000
050008ec 0x00000000
050008f0 0x00000000
050008f4 0x00000000
050008f8 0x00000000
050008fc 0x00000000
05000900 0x00800D47
05000904 0x00000000
05000908 0x00000000
0500090c 0x00000000
05000910 0x02022000
05000914 0x0004000E
05000918 0x00000000
0500091c 0x02000000
05000920 0x70248077
05000924 0x00000007
05000928 0x04002000
0500092c 0x00000000
05000930 0x50074022
05000934 0x84081008
05000938 0x01610063
0500093c 0x84804692
05000940 0x00D10200
05000944 0x04009A06
